id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
46454,3,15,18,3,16,5,3,6,18
55809,11,3,6,19,19,19,11,18,8
54593,3,14,17,19,19,19,19,19,19
309000,19,19,19,19,19,19,19,19,19
367942,11,1,13,19,19,19,19,19,19
229345,6,3,14,6,0,16,6,0,14
184635,18,8,1,19,19,19,19,19,19
153793,6,14,3,19,19,19,19,19,19
111648,6,3,14,6,9,4,19,19,19
418439,19,19,19,19,19,19,19,19,19
20405,14,3,6,19,19,19,6,14,3
238394,16,14,6,14,6,3,6,18,8
43458,3,12,14,3,14,12,19,19,19
166196,0,15,2,19,19,19,19,19,19
182511,19,19,19,19,19,19,19,19,19
146198,6,18,1,6,16,15,14,3,6
221603,3,12,14,2,18,8,3,18,8
142690,3,14,4,19,19,19,14,7,18
220688,3,0,4,14,3,6,19,19,19
